X.Phenotype.,SGN,subpopulation
YL_682_YL_682,66.67,xx
YL_683_YL_683,77.33,yq
YL_684_YL_684,68,yq
YL_685_YL_685,52.33,yy
YL_686_YL_686,54.33,yy
YL_687_YL_687,108.33,xx
YL_688_YL_688,54.67,zz
YL_69_YL_69,101.67,yy
YL_690_YL_690,94.67,zz
YL_691_YL_691,59,xx
YL_694_YL_694,75.67,zz
YL_699_YL_699,90,yq
YL_70_YL_70,59.33,zz
YL_700_YL_700,53,xx
YL_701_YL_701,62.33,yy
YL_702_YL_702,68.33,zz
YL_703_YL_703,56.33,xx
YL_704_YL_704,46.33,xx
YL_706_YL_706,76.33,yy
YL_707_YL_707,68.67,zz
YL_709_YL_709,67.67,xx
YL_710_YL_710,54,yq
YL_711_YL_711,38.67,yq
YL_712_YL_712,90.33,yy
YL_713_YL_713,44,yy
YL_719_YL_719,52.67,xx
YL_72_YL_72,65,zz
YL_720_YL_720,57,yy
YL_732_YL_732,42,zz
YL_733_YL_733,103.33,xx
YL_734_YL_734,34.67,zz
YL_735_YL_735,33.67,yq
YL_737_YL_737,60,zz
YL_738_YL_738,94,xx
YL_739_YL_739,77,yy
YL_74_YL_74,99,zz
YL_740_YL_740,62.67,xx
YL_741_YL_741,76.33,xx
YL_743_YL_743,128.67,yy
YL_744_YL_744,103.67,zz
YL_746_YL_746,25.67,xx
YL_748_YL_748,44.33,yq
YL_749_YL_749,71.67,zz
YL_75_YL_75,55.67,yq
YL_753_YL_753,32.67,zz
YL_793_YL_793,85.33,xx
YL_80_YL_80,86,zz
YL_81_YL_81,165,yq
YL_813_YL_813,26.67,yy
YL_814_YL_814,49,yy
YL_819_YL_819,31.67,xx
YL_82_YL_82,117,zz
YL_821_YL_821,91.67,yy
YL_823_YL_823,75.33,zz
YL_83_YL_83,102.67,xx
YL_836_YL_836,50.33,zz
YL_837_YL_837,54,yq
YL_838_YL_838,38.33,zz
YL_849_YL_849,77,xx
YL_85_YL_85,105,yy
YL_86_YL_86,114,zz
YL_862_YL_862,28.67,xx
YL_864_YL_864,51.67,xx
YL_865_YL_865,92.33,yy
YL_866_YL_866,60,zz
YL_868_YL_868,23.67,xx
YL_87_YL_87,71.33,yq
YL_871_YL_871,74.33,yq
YL_874_YL_874,74.67,yy
YL_876_YL_876,107.67,yy
YL_877_YL_877,64,xx
YL_88_YL_88,94.67,zz
YL_886_YL_886,43,yy
YL_887_YL_887,126,zz
YL_888_YL_888,76.33,xx
YL_889_YL_889,174.67,zz
YL_89_YL_89,91.33,yq
YL_891_YL_891,74.33,zz
YL_892_YL_892,141,xx
YL_894_YL_894,99.33,yy
YL_895_YL_895,125,zz
YL_896_YL_896,39,xx
YL_897_YL_897,107,xx
YL_90_YL_90,77,yy
YL_903_YL_903,63.33,zz
YL_905_YL_905,69.33,xx
YL_906_YL_906,111.33,yq
YL_91_YL_91,85.33,yq
YL_911_YL_911,47.67,yy
YL_912_YL_912,99.67,yy
YL_913_YL_913,89.67,xx
YL_914_YL_914,72.67,zz
YL_916_YL_916,148.33,yy
YL_92_YL_92,24.67,zz
YL_923_YL_923,62.33,xx
YL_93_YL_93,75,zz
YL_931_YL_931,125.67,yq
YL_935_YL_935,53.33,zz
YL_936_YL_936,45.33,xx
YL_94_YL_94,83.67,yy
YL_943_YL_943,52,zz
YL_945_YL_945,80.33,xx
YL_946_YL_946,95,xx
YL_947_YL_947,92.67,yy
YL_95_YL_95,131.33,zz
YL_953_YL_953,102.33,xx
YL_96_YL_96,117.33,yq
YL_965_YL_965,48.33,yq
YL_967_YL_967,62.67,yy
YL_968_YL_968,95.33,yy
